Name,Name (BBG),Description,Maturity Date,ISIN,GIM2 Symbol,Ticker,YTW,OAD,OASD,OAS,Fitch,Moody's,S&P,Exposure Country,Exposure Currency,BarCap - Class 1 Desc,Country_Sector,BarCap - Class 3 Desc,BarCap - Class 4 Desc,JPM CEMBI Sector,Market Sector,KRD 0.5yr,KRD 02yr,KRD 05yr,KRD 10yr,KRD 20yr,KRD 30yr,Orig Face,Total MV,MV%,Bid (BBG),Ask (BBG),Min Piece (BBG),Amt Outstanding (BBG),Issue Date (BBG),Tkt Tot Amount (BBG)
        REPUBLIC OF ANGOLA  9.500  12 Nov 2025,REPUBLIC OF ANGOLA  9.500  12 Nov 2025,REPUBLIC OF ANGOLA  9.500  12 Nov 2025,11/12/2025,XS1318576086,,ANGOL,8.09%,5.51,5.72,586.72,B,B1,NR,ANGOLA,USD,GOVERNMENT_RELATED,ANGOLA_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.05,0.30,2.45,2.91,0.00,0.00,"3,886,457.00","4,350,533.25",0.35%,108.042,108.958,200000,1500000000,11/12/2015,1129473.33
        REPUBLIC OF ANGOLA  7.00  17 Aug 2019,REPUBLIC OF ANGOLA  7.00  17 Aug 2019,REPUBLIC OF ANGOLA  7.00  17 Aug 2019,08/17/2019,XS0814512223,,ANGOL,3.60%,0.95,0.97,223.14,NR,B1,B-,ANGOLA,USD,GOVERNMENT_RELATED,ANGOLA_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.43,0.53,0.00,0.00,0.00,0.00,"1,295,486.00","1,349,902.17",0.11%,103.292,103.792,250000,500000000,8/17/2012,521722.22
        ARGENTINA (REPUBLIC OF)  6.87500  26 Jan 2027,ARGENTINA (REPUBLIC OF)  6.87500  26 Jan 2027,ARGENTINA (REPUBLIC OF)  6.87500  26 Jan 2027,01/26/2027,US040114HL72,,ARGENT,5.74%,6.85,7.02,345.80,NR,B3,B,ARGENTINA,USD,GOVERNMENT_RELATED,ARGENTINA_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.03,0.20,1.47,5.32,0.00,0.00,"1,966,640.00","2,150,727.20",0.17%,108.052,108.502,1000,3744556000,4/12/2017,1099573.89
        ARGENTINA (REP OF)  2.500  31 Dec 2038,ARGENTINA (REP OF)  2.500  31 Dec 2038,ARGENTINA (REP OF)  2.500  31 Dec 2038,12/31/2038,ARARGE03E097,,ARGENT,6.85%,13.15,11.60,412.16,NR,NR,B,ARGENTINA,USD,GOVERNMENT_RELATED,ARGENTINA_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.01,0.12,0.41,4.30,6.74,0.13,"645,770.00","444,101.11",0.04%,100,100,1,1229570000,11/29/2005,709723.33
        ARGENTINA (REP OF)  2.500  31 Dec 2038,ARGENTINA (REP OF)  2.500  31 Dec 2038,ARGENTINA (REP OF)  2.500  31 Dec 2038,12/31/2038,US040114GK09,,ARGENT,6.62%,13.27,11.68,389.81,NR,B3,B,ARGENTINA,USD,GOVERNMENT_RELATED,ARGENTINA_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.01,0.12,0.39,4.31,6.84,0.13,"2,781,820.00","1,970,386.49",0.16%,70.755,71.255,1,5296689195,11/29/2005,720783.33
        ARGENTINA (REP OF)  8.2800  31 Dec 2033,ARGENTINA (REP OF)  8.2800  31 Dec 2033,ARGENTINA (REP OF)  8.2800  31 Dec 2033,12/31/2033,US040114GL81,,ARGENT,6.25%,7.48,7.65,387.81,NR,B3,B,ARGENTINA,USD,GOVERNMENT_RELATED,ARGENTINA_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.04,0.24,1.32,4.66,1.41,0.00,"2,244,754.00","2,656,037.19",0.21%,116.31,116.7,1,3965934420,11/29/2005,1674538.1
        ARGENTINA (REPUBLIC OF)  6.87500  22 Apr 2021,ARGENTINA (REPUBLIC OF)  6.87500  22 Apr 2021,ARGENTINA (REPUBLIC OF)  6.87500  22 Apr 2021,04/22/2021,US040114GW47,,ARGENT,4.14%,3.08,3.14,242.48,B,B3,B,ARGENTINA,USD,GOVERNMENT_RELATED,ARGENTINA_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.04,1.55,1.53,0.00,0.00,0.00,"2,347,285.00","2,629,162.70",0.21%,108.875,109.229,150000,4469318000,4/12/2017,1127845.28
        ARGENTINA (REPUBLIC OF)  7.500  22 Apr 2026,ARGENTINA (REPUBLIC OF)  7.500  22 Apr 2026,ARGENTINA (REPUBLIC OF)  7.500  22 Apr 2026,04/22/2026,US040114GX20,,ARGENT,5.66%,6.23,6.39,341.68,B,B3,B,ARGENTINA,USD,GOVERNMENT_RELATED,ARGENTINA_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.03,0.22,2.19,3.94,0.00,0.00,"3,397,055.00","3,928,800.43",0.32%,112.304,112.758,150000,6468120000,4/12/2017,1160376.67
        ARGENTINA (REPUBLIC OF)  7.62500  22 Apr 2046,ARGENTINA (REPUBLIC OF)  7.62500  22 Apr 2046,ARGENTINA (REPUBLIC OF)  7.62500  22 Apr 2046,04/22/2046,US040114GY03,,ARGENT,6.77%,11.95,11.99,390.49,B,B3,B,ARGENTINA,USD,GOVERNMENT_RELATED,ARGENTINA_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.03,0.21,0.69,1.90,3.59,5.83,"1,441,099.00","1,645,677.75",0.13%,110.852,111.408,150000,2743906000,4/12/2017,1154226.94
        ARGENTINA (REPUBLIC OF)  6.2500  22 Apr 2019,ARGENTINA (REPUBLIC OF)  6.2500  22 Apr 2019,ARGENTINA (REPUBLIC OF)  6.2500  22 Apr 2019,04/22/2019,US040114HB90,,ARGENT,2.86%,1.45,1.46,140.78,B,B3,B,ARGENTINA,USD,GOVERNMENT_RELATED,ARGENTINA_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.45,1.01,0.00,0.00,0.00,0.00,"1,435,366.00","1,548,777.23",0.12%,105.084,105.357,150000,2732991000,4/12/2017,1083253.89
